,1080Lines,1400Ripples,Air_Compressor,Blip,Blip_Low_Frequency,Chirp,Extremely_Loud,Fast_Scattering,Helix,Koi_Fish,Light_Modulation,Low_Frequency_Burst,Low_Frequency_Lines,No_Glitch,None_of_the_Above,Paired_Doves,Power_Line,Repeating_Blips,Scattered_Light,Scratchy,Tomte,Violin_Mode,Wandering_Line,Whistle
1080Lines,163,1,0,0,0,0,0,2,0,0,0,0,4,10,0,0,0,0,20,0,0,0,0,176
1400Ripples,5,825,0,0,0,0,0,4,0,0,0,0,3,282,0,0,0,0,1,0,0,1,0,648
Air_Compressor,0,0,335,0,1,0,0,222,0,1,0,0,0,132,0,0,5,0,34,0,1,4,0,0
Blip,0,0,0,2499,277,0,0,2,0,220,0,0,1,14,0,0,4,2,0,2,16,12,0,38
Blip_Low_Frequency,0,0,9,334,1650,0,0,189,0,361,0,1,0,14,0,0,0,0,0,0,3210,1,0,0
Chirp,0,0,0,7,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Extremely_Loud,2,0,4,0,2,0,4686,35,0,482,7,135,56,10,0,0,3,0,307,3,15,0,0,9
Fast_Scattering,0,2,126,9,3,0,26,15828,0,149,0,16,59,42,0,0,0,0,448,0,342,0,0,16
Helix,0,0,0,3,1,0,4,13,0,33,0,0,0,3,0,0,0,0,10,2,7,0,0,2
Koi_Fish,0,0,3,25,22,0,681,125,0,4186,0,0,0,8,0,0,0,1,9,3,258,0,0,11
Light_Modulation,0,0,0,2,0,0,64,31,0,79,3,5,2,0,0,0,0,0,13,0,0,0,0,1
Low_Frequency_Burst,0,8,0,2,0,0,40,203,0,7,0,5224,156,43,0,0,0,0,68,0,6,0,0,9
Low_Frequency_Lines,0,1,1,0,0,0,0,594,0,2,1,282,1797,40,0,0,0,0,1249,0,1,0,0,7
No_Glitch,7,820,53,38,25,0,21,202,0,33,0,210,73,3023,0,0,118,1,141,12,59,10,0,422
None_of_the_Above,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paired_Doves,0,1,34,1,3,0,0,678,0,62,0,2,57,13,0,0,0,0,9,0,114,2,0,1
Power_Line,0,0,26,0,12,0,2,14,0,0,0,0,0,135,0,0,299,0,7,0,0,1,0,0
Repeating_Blips,0,1,9,255,110,0,0,25,0,247,0,0,0,14,0,0,5,3,0,0,39,3,0,14
Scattered_Light,0,1,9,0,0,0,10,366,0,3,0,28,95,63,0,0,3,0,26906,0,9,0,0,4
Scratchy,0,2,1,11,18,0,12,7,0,18,0,0,0,153,0,0,5,0,3,28,5,1,0,4
Tomte,0,0,0,10,265,0,0,686,0,321,0,0,0,4,0,0,1,0,0,1,9435,0,0,0
Violin_Mode,8,50,11,12,1,0,2,15,0,8,0,0,1,151,0,0,4,0,44,3,8,33,0,266
Wandering_Line,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,19
Whistle,83,69,0,158,2,0,3,4,0,23,0,0,4,134,0,0,4,0,9,6,0,16,0,3065
