,XGBoost,autoint,danet,fttransformer,gandalf,gate,mlp,node,tabnet,tabtransformer
XGBoost,1.0,0.11191210950139764,-0.1492673180925473,0.11952347746699502,0.0855616362652326,0.09751737880747341,0.4887346468147232,0.11490535285853952,-0.15063879668646513,0.11663774062343968
autoint,0.11191210950139764,1.0,0.7102364238607356,0.6839461667868301,0.7250756751365159,0.7143277208415981,0.2276804017544976,0.4806519454008398,0.5700488551387313,0.6451037824972987
danet,-0.1492673180925473,0.7102364238607356,1.0,0.7822476133254312,0.6475095727033573,0.5768853523733275,-0.004331663173567976,0.3606313603193436,0.7178663085476594,0.5325623008295538
fttransformer,0.11952347746699502,0.6839461667868301,0.7822476133254312,1.0,0.6353490926456169,0.7694871477240139,0.34698415638456404,0.5217857217128641,0.7295170277907151,0.6896268210073164
gandalf,0.0855616362652326,0.7250756751365159,0.6475095727033573,0.6353490926456169,1.0,0.6675385062481837,0.20532905190439268,0.6315276150756955,0.44946439868771826,0.8437049214062976
gate,0.09751737880747341,0.7143277208415981,0.5768853523733275,0.7694871477240139,0.6675385062481837,1.0,0.37669428996792653,0.6672897476827104,0.5912702795971799,0.7095007958762208
mlp,0.4887346468147232,0.2276804017544976,-0.004331663173567976,0.34698415638456404,0.20532905190439268,0.37669428996792653,1.0,0.3458077136191341,0.16413255194691836,0.35682555942125227
node,0.11490535285853952,0.4806519454008398,0.3606313603193436,0.5217857217128641,0.6315276150756955,0.6672897476827104,0.3458077136191341,1.0,0.33978594560328595,0.7276748033658529
tabnet,-0.15063879668646513,0.5700488551387313,0.7178663085476594,0.7295170277907151,0.44946439868771826,0.5912702795971799,0.16413255194691836,0.33978594560328595,1.0,0.4865742534640492
tabtransformer,0.11663774062343968,0.6451037824972987,0.5325623008295538,0.6896268210073164,0.8437049214062976,0.7095007958762208,0.35682555942125227,0.7276748033658529,0.4865742534640492,1.0
