XGBoost,MLP,TabNet,TabTransformer,FT-Transformer,AutoInt,GATE,GANDALF,DANet,NODE
0.7868080094228505,0.6161251504211793,0.894869638351556,0.8573928258967629,0.9143356643356644,0.896845694799659,0.89666951323655,0.8639118457300275,0.9045996592844976,0.8877463581833762
0.7388211382113821,0.6660533578656854,0.9323031640912436,0.906864436012418,0.9435697859543604,0.9440311725115126,0.9365731641951044,0.7660690861390468,0.9419904204364024,0.9295331351634901
0.580441640378549,0.489344909234412,0.5964912280701754,0.1934156378600823,0.5562700964630225,0.5346534653465347,0.5018315018315018,0.751219512195122,0.5704918032786885,0.4874551971326165
0.8366359806522078,0.7879727216367018,0.768595041322314,0.6903460837887068,0.7579908675799086,0.7538883806038427,0.7620751341681574,0.7320954907161804,0.7480785653287788,0.7411255411255411
0.7462845010615711,0.6570223025919228,0.8110161443494777,0.7954545454545454,0.8408304498269896,0.8320278503046127,0.823963133640553,0.9460697920338386,0.8296557811120918,0.8167259786476868
0.0952380952380952,0.0,0.8223483195111305,0.7390381895332391,0.720581553839164,0.7664720600500416,0.7762265656162745,0.9032815198618308,0.7746104142911441,0.7554064131245339
0.8688495885133952,0.8491580078824794,0.6724890829694323,0.3541666666666667,0.7464920486435921,0.7007874015748031,0.6470092670598147,0.0317460317460317,0.64,0.5543710021321961
0.8663350752376755,0.8786369016488205,0.8076358296622613,0.6978297161936561,0.7966573816155988,0.8074712643678161,0.8080808080808081,0.5773399014778325,0.8023598820058997,0.7863013698630137
0.3300970873786408,0.0,0.1428571428571428,0.0,0.2666666666666666,0.2,0.0,0.5221674876847291,0.074074074074074,0.0
0.7810183848301088,0.7661240103193666,0.1651376146788991,0.0,0.0674157303370786,0.0235294117647058,0.0,0.5082508250825083,0.0919540229885057,0.0
0.3356449375866852,0.0843881856540084,0.6654898499558694,0.2704019488428745,0.5688816855753647,0.5904936014625228,0.5227272727272727,0.8273381294964028,0.3730964467005076,0.3399734395750332
0.9420531252739546,0.9159620362381364,0.8024539877300614,0.5914718019257221,0.8100263852242744,0.7876344086021505,0.7563636363636363,0.0,0.7470997679814385,0.7120879120879121
0.7120385232744784,0.6492926284437825,0.8714404202377661,0.8106021616057643,0.8687095867303908,0.86615515771526,0.8476750400855158,0.7403314917127072,0.8666480290746436,0.8319103521878335
0.8079991710703553,0.7668817595201308,0.5230769230769231,0.0,0.46875,0.5205479452054794,0.365079365079365,0.6787658802177858,0.5342465753424658,0.0
0.75,0.0,0.2197802197802197,0.0,0.247191011235955,0.0526315789473684,0.0,0.631578947368421,0.0769230769230769,0.0
0.2993751697908177,0.0727934485896269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7348017621145374,0.6998011928429424,0.3636363636363636,0.1454545454545454,0.6436781609195402,0.6236559139784946,0.0454545454545454,0.0,0.6133333333333333,0.0
0.4,0.0911330049261083,0.0,0.0,0.0,0.0,0.0,0.3548387096774194,0.0,0.0
0.9499536264143944,0.9525603084925118,0.0149253731343283,0.0,0.0,0.0,0.0,0.5142857142857142,0.0,0.0
0.6239168110918544,0.3442622950819672,0.7,0.0851063829787234,0.6896551724137931,0.7142857142857143,0.6511627906976745,0.0,0.6862745098039216,0.0
0.859565447800742,0.8146343748536095,0.0,0.0,0.0,0.0,0.0,0.1363636363636363,0.0,0.0
0.4701030927835051,0.3052884615384615,0.6191646191646192,0.0657276995305164,0.6193181818181818,0.6018957345971564,0.1094527363184079,0.0,0.4489795918367347,0.371900826446281
0.4705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8798172994576078,0.8367289980463299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
