feature,XGBoost,MLP,TabNet,TabTransformer,FT-Transformer,AutoInt,GATE,GANDALF,DANet,NODE
peak_time,0.06709759987629306,0.042705548984514376,0.5910064938095498,0.7929612310704621,0.6582931847520413,0.1263768164184064,0.744293613183938,0.5880732225160668,0.4882717695843405,0.28587445464709826
peak_time_ns,0.013769263744170007,0.022522353053090884,0.07675826082404569,0.0004695680733695953,0.006210570988593278,0.05917604014804261,0.004420793027059242,0.008841907968447263,0.18150409582126018,0.00018490029867389873
start_time_ns,0.008708122552038173,0.02448531651093408,0.0235417801999323,0.0014892326154923449,0.004639723918228879,0.009094873357054225,0.003018015744592882,0.0033224753553669933,0.02575720924155959,0.00010032583847396177
duration,0.08450456459983244,0.15470687105454461,0.1539611515340795,0.014769714078450163,0.028580481644615876,0.16725497914771217,0.08751765630847008,0.06674450676667035,0.04394268277389804,0.10454290939085023
peak_frequency,0.3034939537994209,0.31565377691610574,0.04389195802357079,0.07282805956227673,0.03685865049341044,0.3128021760983313,0.07283218673880122,0.2102126233212828,0.03403512502792148,0.2436727893582887
central_freq,0.05971789247955971,0.02847896685787737,0.039080339134879814,0.004322150192354253,0.06334550504379122,0.03595596238604378,0.014001388951115589,0.012636966734981435,0.08331203898722452,0.00598760731672214
amplitude,0.12060841513283771,0.06583361095400994,0.012306069764293945,0.011168059836733033,0.01518961309780104,0.01635839921689458,0.0160538012014097,0.004878295989056191,0.01205731785847256,0.07757393723750441
snr,0.1232956664273543,0.21688954085099738,0.03356826717572477,0.022906356250156596,0.025256919983484245,0.028593745850299192,0.024193040386426664,0.04385463203142823,0.011393692987109858,0.07726411322648771
q_value,0.21880452138849366,0.12872401481792578,0.025885679533923425,0.07908562832070531,0.16162535007803375,0.2443870073772158,0.0336695044581865,0.06143536931670007,0.11972606771821327,0.2047989626859005
