MLP,TabNet,TabTransformer,FT-Transformer,AutoInt,GATE,GANDALF,DANet,NODE
0.95,-0.1833333333333333,0.7,0.3666666666666667,0.5,0.5333333333333333,0.45,-0.3999999999999999,0.6833333333333333
0.35,0.7666666666666667,0.7999999999999999,0.65,0.7666666666666667,0.6833333333333333,0.8166666666666667,0.6333333333333333,
0.6,-0.0166666666666666,0.5833333333333334,0.35,0.6,0.3999999999999999,0.5333333333333333,0.1666666666666666,0.75
0.35,-0.3833333333333333,0.3999999999999999,0.0666666666666666,-0.0333333333333333,0.1999999999999999,0.2666666666666666,-0.3333333333333333,
0.8666666666666667,-0.0999999999999999,0.3666666666666667,0.1166666666666666,0.5333333333333333,0.3166666666666666,0.1999999999999999,-0.3833333333333333,0.7166666666666667
0.75,-0.4166666666666666,0.1333333333333333,0.1333333333333333,0.0999999999999999,0.2166666666666666,0.0666666666666666,-0.3833333333333333,0.4666666666666666
,,,,,,,,
0.9,0.1666666666666666,0.4166666666666666,0.2333333333333333,0.6166666666666666,0.5833333333333334,0.35,-0.1166666666666666,0.75
0.6833333333333333,-0.3999999999999999,0.3833333333333333,0.0166666666666666,-0.0999999999999999,0.15,-0.0833333333333333,-0.3999999999999999,0.5499999999999999
0.65,,,,,,,,
0.6666666666666667,0.0,0.4333333333333333,0.3833333333333333,0.3999999999999999,0.35,0.1999999999999999,-0.4166666666666666,0.7333333333333334
0.6833333333333333,-0.5833333333333334,,0.1833333333333333,,,,-0.5833333333333334,
0.5,0.0,0.3833333333333333,0.5,0.0999999999999999,0.3333333333333333,0.7,0.0166666666666666,0.65
0.95,-0.6,0.4333333333333333,0.3,0.0333333333333333,0.1666666666666666,0.0999999999999999,-0.4166666666666666,0.5
0.65,0.2666666666666666,0.6166666666666666,0.3833333333333333,0.3333333333333333,0.6833333333333333,0.5499999999999999,0.0333333333333333,0.7833333333333333
,,,,,,,,
0.5833333333333334,-0.4666666666666666,,,,,,,
0.6666666666666667,0.0499999999999999,0.1999999999999999,0.3333333333333333,0.0833333333333333,0.1999999999999999,0.2166666666666666,-0.1333333333333333,
0.5666666666666667,-0.1999999999999999,,0.3666666666666667,0.35,0.3666666666666667,,-0.1333333333333333,
0.75,-0.0833333333333333,0.7,0.4166666666666666,-0.0666666666666666,0.35,0.2833333333333333,-0.0499999999999999,0.75
0.45,-0.0999999999999999,,0.2166666666666666,0.4833333333333333,0.3833333333333333,,-0.1833333333333333,
0.9,-0.5833333333333334,0.3333333333333333,0.3666666666666667,-0.25,0.2333333333333333,0.1999999999999999,-0.4333333333333333,0.5166666666666667
0.2666666666666666,0.7666666666666667,0.7166666666666667,0.75,0.6166666666666666,,0.6,0.6333333333333333,
,,,,0.6166666666666666,,0.6666666666666667,0.8333333333333333,
0.6166666666666666,0.3333333333333333,0.8166666666666667,0.75,0.6333333333333333,0.8166666666666667,0.8333333333333333,0.3999999999999999,0.9166666666666666
